number,name,coordinate,province,postalcode,telephone,region,picture
1,อุทยานแห่งชาติภูกระดึง,16°52′05″N 101°46′33″E,เลย,42180,042810833,ภาคตะวันออกเฉียงเหนือ,https://drive.google.com/uc?id=1lJ6dtk8q-Fm88EUSWXA5UFaVdQ9meHWC
2,อุทยานแห่งชาติเขาสามร้อยยอด,12°07′42″N 99°57′15″E,ประจวบคีรีขันธ์,77150,032821568,ภาคตะวันตก,https://drive.google.com/uc?id=1Gb52X8Yh34njFyTt56tAHM5SszyXIB3J
3,อุทยานแห่งชาติน้ำหนาว,16°44′19″N 101°34′13″E,เพชรบูรณ์,67260,0819626236,ภาคเหนือ,https://drive.google.com/uc?id=1MZgHnGby6H5KZsubRxjxzLsffatlnU6u
4,อุทยานแห่งชาติดอยอินทนนท์,18°32′12″N 98°31′17″E,เชียงใหม่,50160 ,053286729,ภาคเหนือ,https://drive.google.com/uc?id=1YbLibQ6ZrHU5vuvebN6XchgrgZNVfyuy
5,อุทยานแห่งชาติถ้ำหลวง-ขุนน้ำนางนอน,20°22′54″N 99°52′06″E,เชียงราย,57130,0807925095,ภาคเหนือ,https://drive.google.com/uc?id=1lGhrn_pVwvlADi4vPzG7lHrfUonIEMch
6,อุทยานแห่งชาติตะรุเตา,6°42′10″N 99°38′48″E,สตูล,91110,074783597,ภาคใต้,https://drive.google.com/uc?id=1qlIbKXX81sQyfgaMqcBMhuUe022ov9GQ
7,อุทยานแห่งชาติเขาหลวง,8°22′25″N 99°44′06″E,นครศรีธรรมราช,80230 ,075300494,ภาคใต้,https://drive.google.com/uc?id=1VEUnlmCljg7GDyRO_jFSk9HpAeURbGKT
8,อุทยานแห่งชาติน้ำตกพลิ้ว,12°31′53″N 102°11′14″E,จันทบุรี,22190,039434528,ภาคตะวันออก ,https://drive.google.com/uc?id=1CYDYWCC8Va1oiHxEBg0Hv3PZSYUp8lzb
9,อุทยานแห่งชาติเอราวัณ,14°22′28″N 99°08′44″E,กาญจนบุรี,71250 ,034574222,ภาคกลาง,https://drive.google.com/uc?id=1_kwsjQc1INZ-_mgxYLEh4OEjq4WVmXpV
10,อุทยานแห่งชาติเขาคิชฌกูฏ,12°50′20″N 102°07′16″E,จันทบุรี,22210 ,039609666,ภาคตะวันออก ,https://drive.google.com/uc?id=16nrYjtkwdcXIGH_f2tXD5Moo4VrxxEqB
11,อุทยานแห่งชาติลานสาง,16°46′56″N 99°00′59″E,ตาก,63000 ,055577207,ภาคเหนือ,https://drive.google.com/uc?id=11H0-_wCIrzRwW89aTTI0DAgTbiRNSeqT
12,อุทยานแห่งชาติภูเรือ,17°28′54″N 101°21′07″E,เลย,42160 ,042810965,ภาคตะวันออกเฉียงเหนือ,https://drive.google.com/uc?id=1VOHp18pmjME0lCFWhTl35YQPfUFElVc9
13,อุทยานแห่งชาติเฉลิมรัตนโกสินทร์,14°39′40″N 99°18′15″E,กาญจนบุรี,71220 ,034547020,ภาคกลาง,https://drive.google.com/uc?id=1BSdKWOYvub6p5PMT1hn8sBjcquWKwycQ
14,อุทยานแห่งชาติรามคำแหง,16°52′39″N 99°41′35″E,สุโขทัย,64160 ,0988839297,ภาคกลาง,https://drive.google.com/uc?id=16--3WkNNwfVudNTYbv2fhfMysB9qrMpD
15,อุทยานแห่งชาติไทรโยค,14°26′16″N 98°51′05″E,กาญจนบุรี,71150 ,034686024,ภาคกลาง,https://drive.google.com/uc?id=1UI_GAaBkznXRPabj3UTXYqtzSjfYqCAn
16,อุทยานแห่งชาติทะเลบัน,6°42′32″N 100°10′09″E,สตูล,91160 ,0835331710,ภาคใต้,https://drive.google.com/uc?id=1TLzPCuAg7thHa1bAqTNOiU-xAV6UwSXV
17,อุทยานแห่งชาติหมู่เกาะอ่างทอง,9°38′07″N 99°40′08″E,สุราษฎร์ธานี,84000 ,0646425186,ภาคใต้,https://drive.google.com/uc?id=1T_GsMXSP2I8RQOUP-ifhbxiFiirR8C0U
18,อุทยานแห่งชาติเขาสก,8°55′43″N 98°31′34″E,สุราษฎร์ธานี,84250 ,077395155,ภาคใต้,https://drive.google.com/uc?id=17QJuxXvHfnk_JnYUiXkyOMOOcLBCY43E
19,อุทยานแห่งชาติตาดโตน,15°58′52″N 102°02′04″E,ชัยภูมิ,36000 ,044104002,ภาคตะวันออกเฉียงเหนือ,https://drive.google.com/uc?id=1Ebq9dMGd3mYLwx64_sDt8LYt5bK3TbLB
20,อุทยานแห่งชาติดอยสุเทพ-ปุย,18°48′47″N 98°56′24″E,เชียงใหม่,50200 ,053210244,ภาคเหนือ,https://drive.google.com/uc?id=1atunL5f4SFoOqrhr87-m5GDCzYq6xxWp
21,อุทยานแห่งชาติอ่าวพังงา,8°24′06″N 98°30′22″E,พังงา,82000 ,076481188,ภาคใต้,https://drive.google.com/uc?id=1auY_UVSdAl9A1YKX13VDtOG26uu-ERth
22,อุทยานแห่งชาติศรีสัชนาลัย,17°33′13″N99°29′06″E,สุโขทัย,64130,0953064837,ภาคเหนือ,https://drive.google.com/uc?id=19ztPcLbiHK8NrC1jupSBtro7WTuktAhL
23,อุทยานแห่งชาติน้ำตกสามหลั่น,14°26′14″N 100°57′47″E,สระบุรี,18000,036713829,ภาคกลาง,https://drive.google.com/uc?id=1FbQGB2qJHcvhHEmdyB0eestmloSKbcom
24,อุทยานแห่งชาติแก่งกระจาน,12°53′06″N99°37′58″E,เพชรบุรี,76170,032772311,ภาคตะวันตก,https://drive.google.com/uc?id=1rLFJtdEoRsn3USTaqSGUOaQ2wyQCWEPz
25,อุทยานแห่งชาติเขาพนมเบญจา,8°14′17″N 98°55′02″E,กระบี่,81000,0612324901,ภาคใต้,https://drive.google.com/uc?id=1iEoOwBpoNQMbhU2UGsnSMi3rQC89uzBF
26,อุทยานแห่งชาติหมู่เกาะสุรินทร์,9°25′22″N 97°52′10″E,พังงา,82150,0810820660,ภาคใต้,https://drive.google.com/uc?id=1dfJNp8EuXjaLskh7fPDGPEuSkP9y0N14
27,อุทยานแห่งชาติแม่ปิง,17°40′12″N 98°52′14″E,ลำพูน,51110,052030480,ภาคเหนือ,https://drive.google.com/uc?id=1FLwrrZF3hxDKBl6q7nTgpTtjLobcHJu1
28,อุทยานแห่งชาติสิรินาถ,8°05′44″N 98°18′00″E,ภูเก็ต,83140,076328226,ภาคใต้,https://drive.google.com/uc?id=1Z44izBCyAfRmcWT_i2dZI5Wh6Qt9ozmG
29,อุทยานแห่งชาติเขาแหลมหญ้า-หมู่เกาะเสม็ด,12°35′28″N 101°25′06″E,ระยอง,21160,038653034,ภาคตะวันออก,https://drive.google.com/uc?id=1UBn5fobKZh_YaDdNW1msa6mDPME-0qbw
30,อุทยานแห่งชาติหาดเจ้าไหม,7°25′28″N 99°20′49″E,ตรัง,92150,075829967,ภาคใต้,https://drive.google.com/uc?id=1R4KmKKmhX4gbKlb_wUgEAvLLz5pqtbvn
31,อุทยานแห่งชาติน้ำตกแม่สุรินทร์,19°21′13″N 97°58′52″E,แม่ฮ่องสอน,58000,053061073,ภาคเหนือ,https://drive.google.com/uc?id=16SKgY0BhjELlcPTGWqi5Bxqu00iUNx5P
